Question_name,Striver_link,leetcode_link,other_link,gfg_link
Disjoint Set [Union by Size],https://takeuforward.org/data-structure/disjoint-set-union-by-rank-union-by-size-path-compression-g-46/,,https://www.codingninjas.com/studio/problems/data-stream-as-disjoint-intervals_1382362?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kruskal's Algorithm,https://takeuforward.org/data-structure/kruskals-algorithm-minimum-spanning-tree-g-47/,,https://www.codingninjas.com/studio/problems/kruskal%E2%80%99s-minimum-spanning-tree-algorithm_1082553?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of operations to make networ…,https://takeuforward.org/data-structure/number-of-operations-to-make-network-connected-dsu-g-49/,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,https://www.codingninjas.com/studio/problems/number-of-operations-to-make-graph-connected._1385179?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Most stones removed with same rows …,https://takeuforward.org/data-structure/most-stones-removed-with-same-row-or-column-dsu-g-53/,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,https://www.codingninjas.com/studio/problems/-most-stones-removed-with-same-row-or-column_1376597?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Accounts merge,https://takeuforward.org/data-structure/accounts-merge-dsu-g-50/,https://leetcode.com/problems/accounts-merge/,https://www.codingninjas.com/studio/problems/accounts-merge_1089558?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of island II,https://takeuforward.org/graph/number-of-islands-ii-online-queries-dsu-g-51/,https://leetcode.com/problems/number-of-islands-ii/,https://www.codingninjas.com/studio/problems/largest-island_840701?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Making a Large Island,https://takeuforward.org/data-structure/making-a-large-island-dsu-g-52/,https://leetcode.com/problems/making-a-large-island/,https://www.codingninjas.com/studio/problems/making-the-largest-island_1381282?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Swim in rising water,,https://leetcode.com/problems/swim-in-rising-water/,https://www.codingninjas.com/studio/problems/minimum-time_8360128?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Bridges in Graph,https://takeuforward.org/graph/bridges-in-graph-using-tarjans-algorithm-of-time-in-and-low-time-g-55/,https://leetcode.com/problems/critical-connections-in-a-network/discuss/382385/find-bridges-in-a-graph,https://www.codingninjas.com/studio/problems/bridges-in-a-graph_893026?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Articulation Point,https://takeuforward.org/data-structure/articulation-point-in-graph-g-56/,,https://www.codingninjas.com/codestudio/problems/articulation-point_840708?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kosaraju's Algorithm,https://takeuforward.org/graph/strongly-connected-components-kosarajus-algorithm-g-54/,,https://www.codingninjas.com/studio/problems/count-strongly-connected-components-(kosaraju%E2%80%99s-algorithm)_1171151?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
