Question_name,Striver_link,leetcode_link,other_link,gfg_link
Edit Distance | (DP-33),https://takeuforward.org/data-structure/edit-distance-dp-33/,https://leetcode.com/problems/edit-distance/,https://www.codingninjas.com/studio/problems/shortest-common-supersequence_4244493?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Wildcard Matching | (DP-34),https://takeuforward.org/data-structure/wildcard-matching-dp-34/,https://leetcode.com/problems/wildcard-matching/,https://www.codingninjas.com/studio/problems/wildcard-pattern-matching_701650?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Best Time to Buy and Sell Stock |(D…,https://takeuforward.org/data-structure/stock-buy-and-sell-dp-35/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock_893405?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Buy and Sell Stock - II|(DP-36),https://takeuforward.org/data-structure/buy-and-sell-stock-ii-dp-36/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock-ii_630282?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Buy and Sell Stocks III|(DP-37),https://takeuforward.org/data-structure/buy-and-sell-stock-iii-dp-37/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock-iii_1071012?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Buy and Stock Sell IV |(DP-38),https://takeuforward.org/data-structure/buy-and-sell-stock-iv-dp-38/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock-iv_1080698?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Buy and Sell Stocks With Cooldown|(…,https://takeuforward.org/data-structure/buy-and-sell-stocks-with-cooldown-dp-39/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock-with-cooldown_3125969?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Buy and Sell Stocks With Transactio…,https://takeuforward.org/data-structure/buy-and-sell-stocks-with-transaction-fees-dp-40/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,https://www.codingninjas.com/studio/problems/best-time-to-buy-and-sell-stock-with-transaction-fee_3118974?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Increasing Subsequence |(DP…,https://takeuforward.org/data-structure/longest-increasing-subsequence-binary-search-dp-43/,,https://www.codingninjas.com/studio/problems/longest-increasing-subsequence_630459?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Printing Longest Increasing Subsequ…,https://takeuforward.org/data-structure/printing-longest-increasing-subsequence-dp-42/,,https://www.codingninjas.com/studio/problems/printing-longest-increasing-subsequence_8360670?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest Divisible Subset|(DP-44),https://takeuforward.org/data-structure/longest-divisible-subset-dp-44/,https://leetcode.com/problems/largest-divisible-subset/,https://www.codingninjas.com/studio/problems/divisible-set_3754960?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest String Chain|(DP-45),https://takeuforward.org/data-structure/longest-string-chain-dp-45/,https://leetcode.com/problems/longest-string-chain/,https://www.codingninjas.com/studio/problems/longest-string-chain_3752111?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Bitonic Subsequence |(DP-46…,https://takeuforward.org/data-structure/longest-bitonic-subsequence-dp-46/,,https://www.codingninjas.com/studio/problems/longest-bitonic-sequence_1062688?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of Longest Increasing Subseq…,https://takeuforward.org/data-structure/number-of-longest-increasing-subsequences-dp-47/,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,https://www.codingninjas.com/studio/problems/number-of-longest-increasing-subsequence_3751627?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Matrix Chain Multiplication|(DP-48),https://takeuforward.org/dynamic-programming/matrix-chain-multiplication-dp-48/,,https://www.codingninjas.com/studio/problems/matrix-chain-multiplication_624880?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Matrix Chain Multiplication | Botto…,https://takeuforward.org/data-structure/matrix-chain-multiplication-tabulation-method-dp-49/,,https://www.codingninjas.com/studio/problems/matrix-chain-multiplication_624880?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum Cost to Cut the Stick|(DP-5…,https://takeuforward.org/data-structure/minimum-cost-to-cut-the-stick-dp-50/,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,https://www.codingninjas.com/studio/problems/rod-cutting-problem_800284?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Burst Balloons|(DP-51),https://takeuforward.org/data-structure/burst-balloons-partition-dp-dp-51/,https://leetcode.com/problems/burst-balloons/,https://www.codingninjas.com/codestudio/problems/burst-balloons_628471?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Evaluate Boolean Expression to True…,https://takeuforward.org/data-structure/evaluate-boolean-expression-to-true-partition-dp-dp-52/,https://leetcode.com/problems/parsing-a-boolean-expression/,https://www.codingninjas.com/studio/problems/boolean-evaluation_1214650?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Palindrome Partitioning - II|(DP-53…,https://takeuforward.org/data-structure/palindrome-partitioning-ii-front-partition-dp-53/,https://leetcode.com/problems/palindrome-partitioning-ii/,https://www.codingninjas.com/studio/problems/palindrome-partitioning-ll_873266?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Partition Array for Maximum Sum|(DP…,https://takeuforward.org/data-structure/partition-array-for-maximum-sum-front-partition-dp-54/,https://leetcode.com/problems/partition-array-for-maximum-sum/,https://www.codingninjas.com/studio/problems/partition-array-for-maximum-sum_3755255?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum Rectangle Area with all 1's…,https://takeuforward.org/data-structure/maximum-rectangle-area-with-all-1s-dp-on-rectangles-dp-55/,https://leetcode.com/problems/maximal-rectangle/,,
Count Square Submatrices with All O…,https://takeuforward.org/data-structure/count-square-submatrices-with-all-1s-dp-on-rectangles-dp-56/,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,,
